"generation","genome","accuracy","training_time","fitness","layer","type","units","activation"
1,4,0.4214000105857849,16.182785272598267,0.41330861794948576,2,"Dense",17,"relu"
1,4,0.4214000105857849,16.182785272598267,0.41330861794948576,3,"Dense",25,"relu"
1,4,0.4214000105857849,16.182785272598267,0.41330861794948576,5,"Dense",21,"relu"
1,4,0.4214000105857849,16.182785272598267,0.41330861794948576,7,"Dense",10,"softmax"
1,5,0.4772999882698059,45.855637073516846,0.4543721697330475,2,"Dense",13,"relu"
1,5,0.4772999882698059,45.855637073516846,0.4543721697330475,3,"Dense",27,"relu"
1,5,0.4772999882698059,45.855637073516846,0.4543721697330475,4,"Dense",9,"relu"
1,5,0.4772999882698059,45.855637073516846,0.4543721697330475,5,"Dense",10,"softmax"
1,6,0.47679999470710754,51.35207962989807,0.4511239548921585,2,"Dense",13,"relu"
1,6,0.47679999470710754,51.35207962989807,0.4511239548921585,3,"Dense",27,"relu"
1,6,0.47679999470710754,51.35207962989807,0.4511239548921585,4,"Dense",8,"relu"
1,6,0.47679999470710754,51.35207962989807,0.4511239548921585,5,"Dense",20,"relu"
1,6,0.47679999470710754,51.35207962989807,0.4511239548921585,7,"Dense",10,"softmax"
1,7,0.43220001459121704,15.96493935585022,0.42421754491329194,2,"Dense",20,"relu"
1,7,0.43220001459121704,15.96493935585022,0.42421754491329194,3,"Dense",32,"relu"
1,7,0.43220001459121704,15.96493935585022,0.42421754491329194,5,"Dense",10,"softmax"
2,0,0.48829999566078186,18.373331308364868,0.47911333000659945,2,"Dense",16,"relu"
2,0,0.48829999566078186,18.373331308364868,0.47911333000659945,3,"Dense",28,"relu"
2,0,0.48829999566078186,18.373331308364868,0.47911333000659945,4,"Dense",8,"relu"
2,0,0.48829999566078186,18.373331308364868,0.47911333000659945,5,"Dense",20,"relu"
2,0,0.48829999566078186,18.373331308364868,0.47911333000659945,7,"Dense",10,"softmax"
2,1,0.48579999804496765,49.199376344680786,0.4612003098726273,2,"Dense",11,"relu"
2,1,0.48579999804496765,49.199376344680786,0.4612003098726273,3,"Dense",32,"relu"
2,1,0.48579999804496765,49.199376344680786,0.4612003098726273,4,"Dense",13,"relu"
2,1,0.48579999804496765,49.199376344680786,0.4612003098726273,5,"Dense",10,"softmax"
2,2,0.39320001006126404,48.13280010223389,0.3691336100101471,2,"Dense",14,"relu"
2,2,0.39320001006126404,48.13280010223389,0.3691336100101471,3,"Dense",32,"relu"
2,2,0.39320001006126404,48.13280010223389,0.3691336100101471,4,"Dense",17,"relu"
2,2,0.39320001006126404,48.13280010223389,0.3691336100101471,5,"Dense",16,"relu"
2,2,0.39320001006126404,48.13280010223389,0.3691336100101471,7,"Dense",10,"relu"
2,2,0.39320001006126404,48.13280010223389,0.3691336100101471,8,"Dense",10,"softmax"
2,3,0.46939998865127563,47.82170081138611,0.44548913824558256,2,"Dense",17,"relu"
2,3,0.46939998865127563,47.82170081138611,0.44548913824558256,3,"Dense",21,"relu"
2,3,0.46939998865127563,47.82170081138611,0.44548913824558256,4,"Dense",12,"relu"
2,3,0.46939998865127563,47.82170081138611,0.44548913824558256,5,"Dense",10,"softmax"
2,4,0.4657000005245209,24.371535301208496,0.4535142328739166,2,"Dense",13,"relu"
2,4,0.4657000005245209,24.371535301208496,0.4535142328739166,3,"Dense",28,"relu"
2,4,0.4657000005245209,24.371535301208496,0.4535142328739166,4,"Dense",17,"relu"
