"generation","genome","accuracy","training_time","layer","type","units","activation"
0,7,0.6660000085830688,8.365180730819702,3,"Dense",10,"relu"
0,7,0.6660000085830688,8.365180730819702,4,"Dense",8,"relu"
0,7,0.6660000085830688,8.365180730819702,5,"Dense",9,"relu"
0,7,0.6660000085830688,8.365180730819702,6,"Dense",7,"relu"
0,7,0.6660000085830688,8.365180730819702,7,"Dense",5,"relu"
0,7,0.6660000085830688,8.365180730819702,8,"Dense",4,"relu"
0,7,0.6660000085830688,8.365180730819702,9,"Dense",11,"relu"
0,7,0.6660000085830688,8.365180730819702,10,"Dense",14,"relu"
0,7,0.6660000085830688,8.365180730819702,11,"Dense",10,"relu"
0,7,0.6660000085830688,8.365180730819702,12,"Dense",8,"relu"
0,7,0.6660000085830688,8.365180730819702,13,"Dense",4,"relu"
0,7,0.6660000085830688,8.365180730819702,14,"Dense",8,"relu"
0,7,0.6660000085830688,8.365180730819702,16,"Dense",7,"relu"
0,7,0.6660000085830688,8.365180730819702,17,"Dense",10,"softmax"
0,8,0.730400025844574,7.31097412109375,2,"Dense",5,"relu"
0,8,0.730400025844574,7.31097412109375,3,"Dense",7,"relu"
0,8,0.730400025844574,7.31097412109375,4,"Dense",10,"relu"
0,8,0.730400025844574,7.31097412109375,5,"Dense",6,"relu"
0,8,0.730400025844574,7.31097412109375,6,"Dense",4,"relu"
0,8,0.730400025844574,7.31097412109375,7,"Dense",5,"relu"
0,8,0.730400025844574,7.31097412109375,8,"Dense",5,"relu"
0,8,0.730400025844574,7.31097412109375,9,"Dense",5,"relu"
0,8,0.730400025844574,7.31097412109375,10,"Dense",4,"relu"
0,8,0.730400025844574,7.31097412109375,11,"Dense",14,"relu"
0,8,0.730400025844574,7.31097412109375,12,"Dense",4,"relu"
0,8,0.730400025844574,7.31097412109375,13,"Dense",9,"relu"
0,8,0.730400025844574,7.31097412109375,14,"Dense",13,"relu"
0,8,0.730400025844574,7.31097412109375,15,"Dense",14,"relu"
0,8,0.730400025844574,7.31097412109375,16,"Dense",10,"softmax"
0,9,0.7027999758720398,4.5189714431762695,2,"Dense",14,"relu"
0,9,0.7027999758720398,4.5189714431762695,3,"Dense",9,"relu"
0,9,0.7027999758720398,4.5189714431762695,4,"Dense",12,"relu"
0,9,0.7027999758720398,4.5189714431762695,5,"Dense",12,"relu"
0,9,0.7027999758720398,4.5189714431762695,6,"Dense",10,"softmax"
